ROADM1,ROADM2,Num Canales Primarios,Num Canales Secundarios,Total Canales,Num Max CH DWDM,%
8,3,2,0,2,96,2.083333333333333
8,6,1,0,1,96,1.0416666666666665
6,7,1,0,1,96,1.0416666666666665
9,7,4,0,4,96,4.166666666666666
7,5,2,0,2,96,2.083333333333333
5,2,2,0,2,96,2.083333333333333
2,1,2,0,2,96,2.083333333333333
1,3,2,0,2,96,2.083333333333333
10,9,1,0,1,96,1.0416666666666665
12,13,3,0,3,96,3.125
13,11,4,0,4,96,4.166666666666666
11,9,4,0,4,96,4.166666666666666
9,10,1,0,1,96,1.0416666666666665
14,12,2,0,2,96,2.083333333333333
19,13,3,0,3,96,3.125
13,12,3,0,3,96,3.125
21,17,3,0,3,96,3.125
17,13,3,0,3,96,3.125
12,14,2,0,2,96,2.083333333333333
14,15,1,0,1,96,1.0416666666666665
15,18,1,0,1,96,1.0416666666666665
18,16,2,0,2,96,2.083333333333333
22,18,7,0,7,96,7.291666666666667
18,15,3,0,3,96,3.125
15,14,3,0,3,96,3.125
14,10,2,0,2,96,2.083333333333333
10,8,2,0,2,96,2.083333333333333
23,26,1,0,1,96,1.0416666666666665
26,24,1,0,1,96,1.0416666666666665
24,21,2,0,2,96,2.083333333333333
8,4,1,0,1,96,1.0416666666666665
23,19,2,0,2,96,2.083333333333333
7,6,1,0,1,96,1.0416666666666665
6,8,1,0,1,96,1.0416666666666665
23,25,1,0,1,96,1.0416666666666665
25,22,5,0,5,96,5.208333333333334
16,20,1,0,1,96,1.0416666666666665
30,29,2,0,2,96,2.083333333333333
29,28,1,0,1,96,1.0416666666666665
28,27,1,0,1,96,1.0416666666666665
27,25,1,0,1,96,1.0416666666666665
25,23,1,0,1,96,1.0416666666666665
3,4,1,0,1,96,1.0416666666666665
