ROADM1,ROADM2,Num Canales Primarios,Num Canales Secundarios,Total Canales,Num Max CH DWDM,%
8,3,2,0,2,96,2.083333333333333
8,6,1,0,1,96,1.0416666666666665
6,7,1,0,1,96,1.0416666666666665
9,7,2,0,2,96,2.083333333333333
7,5,1,0,1,96,1.0416666666666665
5,2,1,0,1,96,1.0416666666666665
2,1,1,0,1,96,1.0416666666666665
1,3,1,0,1,96,1.0416666666666665
10,9,1,0,1,96,1.0416666666666665
12,13,2,0,2,96,2.083333333333333
13,11,3,0,3,96,3.125
11,9,3,0,3,96,3.125
9,10,2,0,2,96,2.083333333333333
14,12,1,0,1,96,1.0416666666666665
19,13,3,0,3,96,3.125
13,12,2,0,2,96,2.083333333333333
21,17,2,0,2,96,2.083333333333333
17,13,2,0,2,96,2.083333333333333
12,14,1,0,1,96,1.0416666666666665
14,15,1,0,1,96,1.0416666666666665
15,18,1,0,1,96,1.0416666666666665
18,16,2,0,2,96,2.083333333333333
22,18,7,0,7,96,7.291666666666667
18,15,4,0,4,96,4.166666666666666
15,14,4,0,4,96,4.166666666666666
14,10,3,0,3,96,3.125
10,8,4,0,4,96,4.166666666666666
22,25,1,0,1,96,1.0416666666666665
25,23,1,0,1,96,1.0416666666666665
23,19,2,0,2,96,2.083333333333333
8,4,2,0,2,96,2.083333333333333
23,25,2,0,2,96,2.083333333333333
25,22,6,0,6,96,6.25
24,21,1,0,1,96,1.0416666666666665
16,20,1,0,1,96,1.0416666666666665
30,20,1,0,1,96,1.0416666666666665
20,16,1,0,1,96,1.0416666666666665
16,18,1,0,1,96,1.0416666666666665
30,29,1,0,1,96,1.0416666666666665
